what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1352074629911
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1352074629988
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1352074630059
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1352074630085
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1352074630138
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1352074630140
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1352074630518
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1352074630560
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1352074630593
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1352074630611
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1352074630611
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1352074630612
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1352074630621
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1352074630634
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1352074630641
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1352074630654
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1352074630685
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1352074630699
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1352074630706
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1352074630706
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1352074630706
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1352074630707
started,bundle,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms",1352074630707
os,sysinfo,,,"linux",1352074630715
arch,sysinfo,,,"x86_64",1352074630715
ws,sysinfo,,,"gtk",1352074630715
locale,sysinfo,,,"en_US",1352074630715
processors,sysinfo,,,"4",1352074630716
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1352074630716
java.runtime.version,sysinfo,,,"1.6.0_30-b12",1352074630716
java.specification.name,sysinfo,,,"Java Platform API Specification",1352074630716
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1352074630716
java.specification.version,sysinfo,,,"1.6",1352074630716
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1352074630716
java.version,sysinfo,,,"1.6.0_30",1352074630716
java.vm.info,sysinfo,,,"mixed mode",1352074630716
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1352074630716
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1352074630716
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1352074630716
java.vm.specification.version,sysinfo,,,"1.0",1352074630716
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1352074630716
java.vm.version,sysinfo,,,"20.5-b03",1352074630716
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1352074630834
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1352074630938
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1352074631070
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1352074631071
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1352074634188
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1352074634241
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1352074635519
started,bundle,com.android.ide.eclipse.traceview,20.0.3.v201208082019-427395,"com.android.ide.eclipse.traceview",1352074637054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352074640107
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1352074648081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352074648092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352074649924
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1352074663484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352074663564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352074664964
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352074665963
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1352074666505
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1352074666552
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1352074666796
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1352074666799
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1352074666823
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1352074666844
